code,libelle,libelle_long,acronyme
918,"UFR de Sciences, antenne de Cherbourg","UFR de Sciences, antenne de Cherbourg-en-Cotentin",SC CHERB
102,DAEU Cherbourg,DAEU Cherbourg  ,DAEU CHERB
DRJ,"Paramédical, social et médico-social","Filières paramédicales, sociales et médico-sociales",Paramedic.
901,"UFR de Droit, AES et admin. publique","UFR de Droit, administration économique et sociale et administration publique",DROIT
12,UFR Humanités et Sciences Sociales,UFR Humanités et Sciences Sociales,UFR HSS
17,Serv Univ Form Continue et Apprentissage,Service Universitaire de la Formation Continue et de l'Apprentissage,SUFCA
960,Institut Préparation Administr. Générale,Institut de Préparation à l'Administration Générale,IPAG
966,Centre de Form. Carrières des Biblioth.,Centre de Formation aux Carrières des Bibliothèques,CFCB
940,IUFM,Institut Universitaire de Formation des Maîtres,IUFM
IF9,IFSI de Vire,IFSI de Vire,IFSI Vire
153,IUT - site d'Alençon,"IUT Grand Ouest Normandie, site d'Alençon",IUT ALENC
939,"ESIX Normandie, site de Saint-Lô","ESIX Normandie, Saint-Lô",ESIX ST-LO
923,Maison de la Rech. en Sciences Humaines,Maison de la Recherche en Sciences Humaines,MRSH
11,UFR SEGGAT,"UFR de Sciences Économiques, de Gestion, de Géographie et d'Aménagement des Territoires (SEGGAT)",UFR SEGGAT
911,IUT d'Alençon,IUT d'Alençon,IUT ALENC
926,UFR de Géographie,UFR de Géographie,GEOGRAPHIE
IF3,IFSI du CHU de Caen,IFSI du CHU de Caen,IFSI Caen
924,UFR de Psychologie,UFR de Psychologie,PSYCHO
155,IUT - site de Lisieux,"IUT Grand Ouest Normandie, site de Lisieux",IUT LISX
IF7,IFSI de Granville,IFSI de Granville,IFSI Granv
151,IUT - site de Caen,"IUT Grand Ouest Normandie, site de Caen",IUT CAEN
925,Institut de Biologie Fondam. & Appliquée,Institut de Biologie Fondamentale et Appliquée,IBFA
921,IUP Agro-Alimentaire,IUP Agro-Alimentaire,IUP AGRO
929,"IAE Caen, Antenne de Cherbourg","IAE Caen, antenne de Cherbourg-en-Cotentin",IAE Cherb
956,Centre de Rech. en Environnement Côtier,Centre de Recherche en Environnement Côtier ,CREC
942,IUFM - Centre d'Alençon,"Institut Universitaire de Formation des Maîtres, centre d'Alençon",IUFM Alenç
982,"INSPE, centre de Saint-Lô","INSPE, centre de Saint-Lô",INSPE StLô
953,Centre d'Enseignement Multimédia Univ.,Centre d'Enseignement Multimédia Universitaire,CEMU
IF8,IFSI de Saint-Lô,IFSI de Saint-Lô,IFSI St-Lô
IF2,IFSI de Flers,IFSI de Flers,IFSI Flers
934,"IUT de Caen, antenne d'Ifs","IUT de Caen, antenne d'Ifs",IUT IFS
GCI,Grand Centre,,GCI
920,École d'Ingénieurs de Cherbourg,École d'Ingénieurs de Cherbourg,EIC
914,UFR STAPS,UFR des Sciences et Techniques des Activités Physiques et Sportives,STAPS
949,"IAE Caen, Antenne d'Alençon","IAE Caen, antenne d'Alençon",IAE Alenç
100,Dir. des Etudes et de la Vie Etudiante,Direction des Études et de la Vie Étudiante,DEVE
930,"UFR de Droit, antenne d'Alençon","UFR de Droit, administration économique et sociale et administration publique, antenne d'Alençon",DROIT ALEN
936,ESIX Normandie,ESIX Normandie  ,ESIX
903,UFR des Sciences Pharmaceutiques,UFR des Sciences Pharmaceutiques,PHARMACIE
141,"UFR Santé, département de Maïeutique","UFR Santé, département de Maïeutique",MAIEUTIQUE
932,"IUT de Caen, antenne d'Alençon","IUT de Caen, antenne d'Alençon",IUT ALENC
453,ENSICAEN - Site de Flers,ENSICAEN - Site de Flers  ,ENSI FLERS
900,"IAE, IUP BFA","Institut d'Administration des Entreprises, Département IUP Banque-Finance-Assurance",IUP BFA
917,UFR de Médecine,UFR de Médecine,MEDECINE
971,ERASMUS,A l'étranger  ,ERASMUS
101,DAEU Caen,DAEU Caen  ,DAEU CAEN
915,Institut Biochimie et Biologie Appliquée,Institut de Biochimie et Biologie Appliquée,IBBA
913,IUT de Caen,IUT de Caen,IUT CAEN
927,IUP Management Social Santé,IUP Management du Social et de la Santé,IUP MSS
964,Espace Orientation Insertion,Espace Orientation Insertion,EOI
983,"INSPE, centre d'Alençon","INSPE, centre d'Alençon",INSPE Alen
943,"UFR de Sciences, antenne du Campus 1","UFR de Sciences, antenne du Campus 1",SC CAMPUS1
922,"UFR LVE, antenne de Cherbourg","UFR des Langues Vivantes Étrangères, antenne de Cherbourg-en-Cotentin",LVE CHERB
907,UFR des Langues Vivantes Étrangeres,UFR des Langues Vivantes Étrangères,LVE
944,"ESIX Normandie, site de Caen","ESIX Normandie, site de Caen",ESIX CAEN
906,UFR Sc de la Terre et Aménagement Régio,UFR des Sciences de la Terre et de l'Aménagement Régional,SC TERRE
955,Centre de Ressources en Langues,Centre de Ressources en Langues  ,CRL
937,"ESIX Normandie, site de Cherbourg","ESIX Normandie, Cherbourg-en-Cotentin",ESIX CHERB
952,"UFR de Médecine, dépt de Maïeutique","UFR de Médecine, Département des Etudes de Sage-Femme",MAIEUTIQUE
131,"UFR des Sciences, antenne du Campus 1","UFR des Sciences, antenne du Campus 1",SC CAMPUS1
954,Centre d'Ens. du Français pour Étrangers,Centre d'Enseignement du Français pour Étrangers,CEFE
157,IUT - site de Vire,"IUT Grand Ouest Normandie, site de Vire",IUT VIRE
905,UFR Sciences de la Vie et du Comportemt,UFR des Sciences de la Vie et du Comportement,SC VIE
902,UFR Sciences Économiques et de Gestion,UFR des Sciences Économiques et de Gestion,SC ECO
IFE,IFRES d'Alençon,Institut de Formation Régional en Santé (IFRES),IFRES
912,IUT Cherbourg Manche,IUT Cherbourg Manche,IUT CHERB
908,UFR d'Histoire,UFR d'Histoire,HISTOIRE
935,"IUT de Caen, antenne de Vire","IUT de Caen, antenne de Vire",IUT VIRE
958,Office Franco-Norvégien Échange et Coopé,Office Franco-Norvégien d'Échange et de Coopération,OFNEC
904,UFR des Sciences de l'Homme,UFR des Sciences de l'Homme,SC HOMME
938,"ESIX Normandie, site de Caen Campus 1","ESIX Normandie, Caen Campus 1",ESIX CAMP1
IAD,Ecole d'Infirmier(s)s Anesthésistes,Ecole d'Infirmier(s)s Anesthésistes (IADE),IADE
981,"INSPE, centre de Caen","INSPE, centre de Caen",INSPE Caen
IF5,IFSI de Lisieux,IFSI de Lisieux,IFSI Lisie
JGF,Lycée Jean-Guéhenno,Lycée Jean-Guéhenno de Flers,JGuehenno
132,"UFR des Sciences, antenne de Cherbourg","UFR des Sciences, antenne de Cherbourg-en-Cotentin",SC CHERB
909,UFR de Sciences,UFR de Sciences,SCIENCES
931,"IUT de Caen, antenne de Lisieux","IUT de Caen, antenne de Lisieux",IUT LISX
IF6,IFSI de Cherbourg-en-Cotentin,IFSI de Cherbourg-en-Cotentin,IFSI Cherb
CR2,IRFSS social Normandie Croix-Rouge,IRFSS Formations sociales Normandie Croix-Rouge,IRFSS Soc.
933,"IUT Cherbourg Manche, antenne de St-Lô","IUT Cherbourg Manche, antenne de Saint-Lô",IUT ST LO
CRF,IRFSS sanitaire Normandie Croix-Rouge,IRFSS Formations sanitaires Normandie Croix-Rouge,IRFSS San.
IFM,IFMEM du CHU de Caen,IFMEM du CHU de Caen,IFMEM Caen
970,Carré international,Carré international,CARRE INT.
COE,Ensemble des co-encadrants de thèses,Ensemble des co-encadrants de thèses,Co-encadr.
154,IUT - site de Ifs,"IUT Grand Ouest Normandie, site de Ifs",IUT IFS
961,SUAPS,Service Universitaire des Activités Physiques et Sportives,SUAPS
13,UFR des Sciences,UFR des Sciences,SCIENCES
910,"IAE Caen, École univ. de Management","IAE Caen, École universitaire de Management",IAE Caen
IF4,IFSI de Falaise,IFSI de Falaise,IFSI Falai
IF1,IFSI de l'Aigle,IFSI de l'Aigle,IFSI L'Aig
152,IUT - site de Cherbourg,"IUT Grand Ouest Normandie, site de Cherbourg-en-Cotentin",IUT CHERB
941,IUFM - Centre de Saint-Lô,"Institut Universitaire de Formation des Maîtres, centre de Saint-Lô",IUFM St-Lô
LSA,Lycée Saint-Anselme,Lycée Saint-Anselme de Bernay,St-Anselme
IRT,IRTS Normandie Caen,Institut Régional du Travail Social Normandie Caen,IRTS Caen
14,UFR Santé,UFR Santé,SANTE
