code_elp,libelle,langue_enseignement,s1,s2,ects,vol_elp,ouvert_mobilite,formation_code,objectif,description
YSEAEDS6,Accompagnement AED prépro 1er degré + stage filé,Français,,1,6.00,12.00,true,EML3_211,,
YPLURI1,UE2-Développer une conscience critique,Français,1,,3.00,30.00,true,PSY1M1_201,,
LAE51B,UE 51 Disciplinaire,Français,1,,6.00,40.00,true,AES2L3_212,,
THEO1EAF,UE1-Mobiliser des savoirs spécialisés,Français,1,,10.00,50.00,true,PSY1M1_201,,
2MSOE21,Enseigements de professionnalisation.,Français,,1,3.00,24.00,true,1MSOC2_701,,
LAE312CM,CM Droit administratif,Français,1,,3.00,20.00,true,AESL2_201,,
MAD223CM,CM Droit international privé,Français,,1,5.00,36.00,true,DASUM1_201,,
LAE301CM,CM Droit du travail,Français,1,,2.00,20.00,true,AESL2_201,,
LD522CM,CM Droit du travail,Français,1,,5.00,35.00,true,DRO1L3_211,,
LD526CM,CM Contentieux adtif,Français,1,,5.00,35.00,true,DRO1L3_211,,
LD524CM,CM Droit de l'UE,Français,1,,5.00,35.00,true,DRO1L3_211,,
U9AL,UE9 Allemand Enseignements fondamentaux,Français,,1,6.00,53.00,true,1LALL_701,,
1SLAL4,Bloc Allemand,Français,,1,6.00,45.00,true,1LLAN1_701,,
8LLCEAL,UE8 LLCER Allemand,Français,,1,6.00,48.00,true,1LLEAA_701,,
S1MAS12,UE1 Management en santé et territoire,Français,1,,8.00,68.00,true,1MACSA_102,,
LASPSYS1,Semestre 1 LASPSY Option Santé,Français,1,,30.00,250.00,true,LASPSY_200,,
DLAS1,Semestre 1 option santé,Français,1,1,30.00,,true,LASDRO_200,,
P14S2U1,"Domaines d’intervention, disciplines et didactiques",Français,,1,15.00,604.00,true,M1PDEG_101,,
LASPSYS2,Semestre 2 LASPSY Option Santé,Français,,1,30.00,250.00,true,LASPSY_200,,
MCE431,anglais de communication,Français,,1,2.00,30.00,true,M2INMC_211,,
M.E6UAL,"Urbanisme, Aménagement, Logement",Français,,1,6.00,50.00,true,3LGEO_911,,
MCE424,scénographies expositions,Français,,1,3.00,30.00,true,M2INMC_211,,
P1421EPS,"Pédagogie, didactique et pratique de l'EPS",Français,,1,2.00,15.00,true,M1PDEG_101,,
MCE423,mener des actions de médiationculturelles,Français,,1,2.00,20.00,true,M2INMC_211,,
MCE422,médiation culturelle et enseignement,Français,,1,3.00,20.00,true,M2INMC_211,,
MCE421,Evaluer mener des audits de dispositifs culturels,Français,,1,3.00,30.00,true,M2INMC_211,,
MCE411,analyse médiation culturelle,Français,,1,3.00,20.00,true,M2INMC_211,,
MCE34,séminaire de recherche,Français,1,,8.00,20.00,true,M2INMC_211,,
MCE333,Education et enseignement culturel,Français,1,,3.00,20.00,true,M2INMC_211,,
P1422AAP,Développer une pratique réflexive située et accompagnée,Français,,1,1.00,17.00,true,M1PDEG_101,,
U23ESF,23 APSA Polyvalence,Français,1,,6.00,,true,ESL3_211,,
CPES3U4,Formation à et par la recherche,Français,1,,7.00,31.50,true,M2EDUC_111,,
CPES1U2,Analyses de l’activité et professionnalités,Français,1,,8.00,86.00,true,M1EDUC_101,,
CPES4U3,Approches curriculaires et apprentissages,Français,,1,7.00,27.00,true,M2EDUC_111,,
2MSED32,Référentiel et ingénierie de formation,Français,1,,3.00,12.00,true,EDU1M2_211,,
3SEE92,3SEE92 - Ethique et valeurs en éducation,Français,,1,3.50,25.00,true,3LEDU1_711,,
2MSEDN11,Adultes en formation et à distance,Français,1,,3.00,18.00,true,EDU2M2_212,,
2MSEDN72,Mémoire de recherche,Français,,1,12.00,,true,EDU2M2_212,,
CPES4U2,Analyses de l’activité et professionnalités,Français,,1,9.00,66.00,true,M2EDUC_111,,
MCE332,Histoire des arts,Français,1,,3.00,30.00,true,M2INMC_211,,
MCE323,médiation scientifique,Français,1,,3.00,20.00,true,M2INMC_211,,
MCE322,méthodologie de projet,Français,1,,3.00,30.00,true,M2INMC_211,,
MCE321,méthodologie de la communication,Français,1,,3.00,20.00,true,M2INMC_211,,
MCE311,Les différents niveaux de l'analyse médiation culturelle,Français,1,,2.00,20.00,true,M2INMC_211,,
CPES3U2,Analyses de l’activité et professionnalités,Français,1,,6.00,56.00,true,M2EDUC_111,,
U24APA,24 Transversale,Français,1,,6.00,,true,APASL3_211,,
P1422ETH,Connaissance de l’institution scolaire et éthique profession,Français,,1,1.00,26.00,true,M1PDEG_101,,
CPES4U5,Parcours étudiant,Français,,1,4.00,50.00,true,M2EDUC_111,,
P1423MTR,Une école maternelle qui s'adapte à son public,Français,,1,1.00,9.00,true,M1PDEG_101,,
MAT3C,Analyse 3,Français,1,,6.00,50.00,true,2LMATH_701,,
P1423PSY,Psychologie des apprentissages : psychologie du développemen,Français,,1,2.00,18.00,true,M1PDEG_101,,
CPES3U1,"Domaines d’intervention, disciplines et didactiques",Français,1,,6.00,33.00,true,M2EDUC_111,,
1AS7,Histoire et dramaturgie 2: analyses,Français,,1,6.00,,true,1LART_701,,
1LEA8,Histoire et dramaturgie 2 : repères,Français,,1,6.00,,true,1LLET1_701,,
P1421MAT,Mathématiques et didactique des mathématiques,Français,,1,3.00,30.00,true,M1PDEG_101,,
P1421EAC,Pratiques et didactiques des Arts plastiques et de l’Éducati,Français,,1,2.00,18.00,true,M1PDEG_101,,
P1421SCT,Démarche scientifique et technologique : éléments communs di,Français,,1,2.00,18.00,true,M1PDEG_101,,
P1421FR,Culture littéraire et développement du français en apprentis,Français,,1,4.00,40.00,true,M1PDEG_101,,
P1421LVE,Construction des apprentissages des élèves en langue vivante,Français,,1,1.00,6.00,true,M1PDEG_101,,
CPES1U1,"Domaines d'intervention, disciplines et didactiques",Français,1,,8.00,84.00,true,M1EDUC_101,,
CPES2U5,Parcours étudiant,Français,,1,6.00,,true,M1EDUC_101,,
P1423INC,Education inclusive et scolarisation des élèves à besoins éd,Français,,1,1.00,8.00,true,M1PDEG_101,,
2MSEDN41,Méthodologie du mémoire,Français,1,,1.50,18.00,true,EDU2M2_212,,
2MSEDN71,Stage,Français,,1,12.00,,true,EDU2M2_212,,
CPES2U3,Approches curriculaires et apprentissages,Français,,1,5.00,76.00,true,M1EDUC_101,,
CPES2U4,Formation à et par la recherche,Français,,1,5.00,39.00,true,M1EDUC_101,,
2LMO441B,connnaissance des principes educatifs,Français,,1,2.00,20.00,true,M2LMO2_211,,
2LMO432B,preparation epreuve 2 oral,Français,,1,5.00,24.00,true,M2LMO2_211,,
2LMO431B,prepa epreuve 1 oral,Français,,1,5.00,24.00,true,M2LMO2_211,,
2LMO422B,memoire,Français,,1,10.00,,true,M2LMO2_211,,
2LMO421B,didactique de la langue française,Français,,1,6.00,36.00,true,M2LMO2_211,,
2LMO411B,histoire de l'ecriture et de la lecture,Français,,1,2.00,24.00,true,M2LMO2_211,,
2LMO341B,Autorité du professeur,Français,1,,3.00,20.00,true,M2LMO2_211,,
2LMO332B,Langue Française,Français,1,,5.00,25.00,true,M2LMO2_211,,
2LMO331B,Dissertation,Français,1,,5.00,25.00,true,M2LMO2_211,,
2LMO322B,Didactique,Français,1,,9.00,36.00,true,M2LMO2_211,,
2LMO321B,Numerique apprentissage,Français,1,,2.00,15.00,true,M2LMO2_211,,
2LMO312B,Langue Vivante,Français,1,,2.00,20.00,true,M2LMO2_211,,
2LMO311B,Histoire des arts,Français,1,,4.00,24.00,true,M2LMO2_211,,
M.EPE-5A,LV1 Anglais (M2 EPA S3),Français,1,,2.00,,true,2MLEA1_711,,
2MSEDN51,Hybrider les formations,Français,,1,3.00,18.00,true,EDU2M2_212,,
CPES3U3,Approches curriculaires et apprentissages,Français,1,,5.00,87.50,true,M2EDUC_111,,
LAE501CM,CM Droit commercial,Français,1,,3.00,20.00,true,AES1L3_211,,
CPES2U2,Analyses de l’activité et professionnalités,Français,,1,7.00,96.00,true,M1EDUC_101,,
CPES1U4,Formation à et par la recherche,Français,1,,5.00,31.50,true,M1EDUC_101,,
MCE331,langue et communication,Français,1,,3.00,20.00,true,2MHIS2_711,,
MCE312,concevoir et évaluer une action de médiation culturelle,Français,1,,2.00,30.00,true,2MHIS2_711,,
LD525CM,CM Droit des services pub,Français,1,,5.00,35.00,true,DRO2L3_212,,
LAE412CM,CM Droit administratif,Français,,1,3.00,20.00,true,AESL2_201,,
CPES4U4,Formation à et par la recherche,Français,,1,3.00,24.00,true,M2EDUC_111,,
U22ESF,22 Disciplinaire,Français,1,,6.00,,true,ESL3_211,,
2MSEDN2,COMPETENCES INSTRUMENTALES,Français,,1,9.00,36.00,true,EDU2M2_212,,
LD625CM,CM Libertés fondamentales,Français,,1,5.00,35.00,true,DRO1L3_211,,
CPES4U1,"Domaines d’intervention, disciplines et didactiques",Français,,1,7.00,33.00,true,M2EDUC_111,,
CPES1U3,Approches curriculaires et apprentissages,Français,1,,5.00,64.00,true,M1EDUC_101,,
CPES2U1,"Domaines d’intervention, disciplines et didactiques",Français,,1,7.00,84.00,true,M1EDUC_101,,
EPSS3U1,"Domaines d’intervention, disciplines et didactiques",Français,1,,9.00,158.00,true,M2PEPS_113,,
SBSN5B,Physiologie des grandes fonctions et pathologie cancéreuse,Français,1,1,6.00,,true,SAN3L3_213,,
LAE503CM,CM Droit des sociétés,Français,1,,3.00,20.00,true,AES1L3_211,,
U24ESF,24 Transversale,Français,1,,6.00,,true,ESL3_211,,
SMIMA3F,Majeure 4,Français,1,,4.00,,true,MAS2M2_212,,
EPSS2U2,Analyses de l’activité et professionnalités,Français,,1,4.00,43.00,true,M1PEPS_103,,
HIGS3U5,Parcours étudiant,Français,1,,5.00,33.50,true,M2PHG_114,,
SMIMA1D,Majeure 3,Français,1,,4.00,,true,MAS2M1_202,,
SMIMA2H,Mineure 1,Français,,1,3.00,,true,MAS2M1_202,,
SMIMAT1C,Majeure 2,Français,1,,4.00,,true,MAT2M1_202,,
SMIMA2E,Majeure 3,Français,,1,4.00,,true,MAS2M1_202,,
SMIMA2B,Research embedding,Français,,1,4.00,,true,MAS2M1_202,,
EPSS2U4,Formation à et par la recherche,Français,,1,5.00,51.50,true,M1PEPS_103,,
SMIMA2C,Majeure 1,Français,,1,4.00,,true,MAS2M1_202,,
SMIMAT3D,Majeure 2,Français,1,,4.00,,true,MAT2M2_212,,
SMIMAT3E,Majeure 3,Français,1,,4.00,,true,MAT2M2_212,,
SMIMA3E,Majeure 3,Français,1,,4.00,,true,MAS2M2_212,,
SMIMAT3H,Mineure 1,Français,1,,3.00,,true,MAT2M2_212,,
SMIMAT1D,Majeure 3,Français,1,,4.00,,true,MAT2M1_202,,
SMIMAT2D,Majeure 2,Français,,1,4.00,,true,MAT2M1_202,,
SMIMAT2E,Majeure 3,Français,,1,4.00,,true,MAT2M1_202,,
SMMIF2A1,Anglais,Français,,1,1.00,,true,INF2M1_202,,
SMIMA1B,Majeure 1,Français,1,,4.00,,true,MAS2M1_202,,
SMMIF1A1,Anglais,Français,1,,2.00,,true,INF2M1_202,,
SMIMIF3D,Majeure 2,Français,1,,4.00,,true,INF2M2_212,,
SMIMIF1G,Mineure 1,Français,1,,3.00,,true,INF2M1_202,,
SMIMIF3C,Majeure 1,Français,1,,4.00,,true,INF2M2_212,,
SMIMA4A,Recherche en immersion,Français,,1,3.00,,true,MAS2M2_212,,
SMIMA2G,Majeure 5,Français,,1,4.00,,true,MAS2M1_202,,
SMIMA1F,Majeure 5,Français,1,,4.00,,true,MAS2M1_202,,
SMIMIF4A,Recherche en immersion,Français,,1,3.00,,true,INF2M2_212,,
SMIMIF3G,Majeure 5,Français,1,,4.00,,true,INF2M2_212,,
SMIMIF1B,Majeure 1,Français,1,,4.00,,true,INF2M1_202,,
M.1PH1CM,M.1PH1CM - Philosophie générale,Français,1,,2.00,0.00,true,1LSOC_702,,
SMMIF2A3,Préprofessionnalisation,Français,,1,1.00,,true,INF2M1_202,,
SMIMIF1H,Mineure 2,Français,1,,3.00,,true,INF2M1_202,,
DOCS1U4,Formation à et par la recherche,Français,1,,5.00,37.50,true,M1PDOC_102,,
DOCS1U2,Analyses de l’activité et professionnalités,Français,1,,4.00,50.00,true,M1PDOC_102,,
HIGS4U1,"Domaines d’intervention, disciplines et didactiques",Français,,1,15.00,130.00,true,M2PHG_114,,
SMIMAT3A,Humanités - Anglais,Français,1,,3.00,,true,MAT2M2_212,,
E6ECONOM,Econométrie,Français,,1,4.00,36.00,true,3LECO_711,,
MAT2B,Analyse 2,Français,,1,6.00,50.00,true,LASMAT_200,,
SMIMA2F,Majeure 4,Français,,1,4.00,,true,MAS2M1_202,,
SMIMA3D,Majeure 2,Français,1,,4.00,,true,MAS2M2_212,,
SMIMIF2G,Majeure 5,Français,,1,4.00,,true,INF2M1_202,,
SMIMA3B,Research embedding,Français,1,,4.00,,true,MAS2M2_212,,
SMIMIF3E,Majeure 3,Français,1,,4.00,,true,INF2M2_212,,
SMMIF1A3,Préprofessionnalisation,Français,1,,1.00,,true,INF2M1_202,,
SMIMIF1C,Majeure 2,Français,1,,4.00,,true,INF2M1_202,,
SMIMAT1E,Majeure 4,Français,1,,4.00,,true,MAT2M1_202,,
SMIMA1E,Majeure 4,Français,1,,4.00,,true,MAS2M1_202,,
SMIMIF3F,Majeure 4,Français,1,,4.00,,true,INF2M2_212,,
SIMAT1A1,Anglais,Français,1,,2.00,,true,MAT2M1_202,,
SIMAT2A3,Préprofessionnalisation,Français,,1,1.00,,true,MAT2M1_202,,
SMIMA2A2,Communication,Français,,1,1.00,,true,MAS2M1_202,,
SMIMIF2F,Majeure 4,Français,,1,4.00,,true,INF2M1_202,,
SMIMA1H,Mineure 2,Français,1,,3.00,,true,MAS2M1_202,,
SMIMIF2C,Majeure 1,Français,,1,4.00,,true,INF2M1_202,,
SMMIF1A2,Communication,Français,1,,1.00,,true,INF2M1_202,,
SMIMAT1H,Mineure 2,Français,1,,3.00,,true,MAT2M1_202,,
SMIMA3A,Humanités - Anglais,Français,1,,3.00,,true,MAS2M2_212,,
U21APA,21 Disciplinaire,Français,1,,6.00,,true,APASL3_211,,
M0MAEUE8,Options Manager/Entrepreneur,Français,,1,7.00,,true,2MADMI_711,,
