code,libelle,acronyme,type_diplome,niveau_etude,code_composante
M1DOC1_201,M1 MEEF Second degré - parcours Documentation,,M,1,980
M1PD01_203,M1 MEEF Premier Degré - parcours Professorat des écoles à St Lô,,M,1,980
M1EPS1_201,M1 MEEF Second degré - parcours Education Physique et Sportive,,M,1,980
2MMON2_717,Master 2ème année Monnaie Banque Finance Assurance parcours RCPA EB Caen Promo 1,,M,2,910
2MEMPU_211,Master 2A Economie et Management Public,,M,2,11
1MACSA_102,Master 1 Santé Parcours Management des activités de santé - FC - EAD,,M,1,14
3LGES1_714,Licence 3A Gestion P. Management des Entreprises - FI,,L,3,910
M1FORM_102,M1 MEEF PIF - P. Formation de formateurs en milieu scolaire,,M,1,980
1MPATR_706,Master 1A Gestion du Patrimoine Arkéa - FC dédiée - Mars 2021,,M,1,910
1MACSA_101,Master 1 Santé Parcours Management des activités de santé - EAD,,M,1,14
2MMARK_711,Master 2A Marketing Vente - FI,,M,2,910
1MBIOS_702,Master 1A Biologie-Santé (réservé aux étudiants de médecine et pharmacien),,M,1,13
M1EDUC_101,M1 MEEF parcours Encadrement Éducatif,,M,1,980
2MSCM2_711,Master 2 Sciences du Médicaments parcours Drug Design (DD),,M,2,14
2MPSY2_711,Master 2A Psychologie P. Psychologie de l'éducation,,M,2,924
M2PCH2_211,"M2 MEEF Second degré - parcours Physique, Chimie",,M,2,980
2MMANA_712,Master 2A Management parcours Atrium,,M,2,910
1MMINN_702,Master 1A Management de l'Innovation - FC,,M,1,910
2MMON2_714,Master 2ème année Monnaie Banque Finance Assurance parcours RCPA Brie promo 2,,M,2,910
3LECO_711,Licence 3A Economie,,L,3,11
2LSTA3_701,Licence 2A STAPS P. Entraînement Sportif,,L,2,914
M1PCH1_201,"M1 MEEF Second degré - parcours Physique, Chimie",,M,1,980
2LSANT_701,Licence 2A Sciences pour la Santé,,L,2,13
2MEMP1_711,Master 2A Economie et Management Publics P. Chargé d'Etudes Economiques,,M,2,11
M2INFO_211,M2 MEEF Ingénierie - parcours Formation Formateurs,,M,2,980
2LECO_701,Licence 2A Economie,,L,2,11
1LGEST_701,Licence 1A Gestion,,L,1,11
3LEDU2_711,"Licence 3A Sciences de l'Education P. Métier du Social, du Médico-social et de l'Insertion",,L,3,12
3LGES1_711,Licence 3A Gestion P. Management des Entreprises - FC,,L,3,910
3LGES5_711,"Licence 3A Gestion P. Banque, Finance, Assurance",,L,3,910
M2DOC2_211,M2 MEEF Second degré - parcours Documentation,,M,2,980
M1EE01_201,M1 MEEF - parcours Encadrement Educatif à Caen,,M,1,980
1MMINN_703,Master 1A Management de l'Innovation - FOAD,,M,1,910
1LPHYS_701,Licence 1A Physique,,L,1,13
2MSCM1_711,Master 2 Sciences du Médicaments parcours Développement Clinique du Médicaments (DCM),,M,2,14
3LSTA2_711,Licence 3A STAPS P. Education et Motricité,,L,3,914
3LLEAR_711,Licence 3A Langues Etrangères Appliquées Anglais/Russe,,L,3,907
2MEMP2_711,Master 2A Economie et Management Publics P. Décisions et Politiques Publiques,,M,2,11
M2LVE2_211,M2 MEEF Second degré - parcours  parcours Langues Vivantes Etrangères,,M,2,980
M2EE02_211,M2 MEEF - Encadrement Educatif à Caen,,M,2,980
M1PIF_201,M1 MEEF Pratiques et Ingénierie de la Formation - parcours Formation pour l'Education Inclusive (FEI),,M,1,980
M1HIG1_201,"M1 MEEF Second degré - parcours Histoire, Géographie",,M,1,980
